evidence_id,evidence,article
Petroleum:271,"When burned, petroleum releases carbon dioxide, a greenhouse gas.",Petroleum
Coral bleaching:52,These temperatures have caused the most severe and widespread coral bleaching ever recorded in the Great Barrier reef.,Coral bleaching
Great Barrier Reef:14,"A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures.",Great Barrier Reef
Great Barrier Reef:179,"The decline in the quality of water over the past 150 years due to development has contributed to coral bleaching, algal blooms, and pesticide pollution.",Great Barrier Reef
Great Barrier Reef:8,"Other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish.",Great Barrier Reef
Great Barrier Reef:96,"Mass coral bleaching events due to elevated ocean temperatures occurred in the summers of 1998, 2002 and 2006, and coral bleaching is expected to become an annual occurrence.",Great Barrier Reef
Air pollution:12,An air pollutant is a material in the air that can have adverse effects on humans and the ecosystem.,Air pollution
Global catastrophic risk:0,"A global catastrophic risk is a hypothetical future event which could damage human well-being on a global scale, even endangering or destroying modern civilization.",Global catastrophic risk
Global catastrophic risk:104,The report warned that the pollution crisis was exceeding the envelope on the amount of pollution the Earth can carry and threatens the continuing survival of human societies.,Global catastrophic risk
Global catastrophic risk:207,"The present, unprecedented scale and speed of human movement make it more difficult than ever to contain an epidemic through local quarantines, and other sources of uncertainty and the evolving nature of the risk means natural pandemics may pose a realistic threat to human civilization.",Global catastrophic risk
Global catastrophic risk:487,Global pollution kills 9m a year and threatens survival of human societies.,Global catastrophic risk
Carbon dioxide:146,"At very high concentrations 100 times atmospheric concentration, or greater, carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm 1% or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.",Carbon dioxide
Terraforming of Mars:59,"Because its atmosphere consists mainly of CO2, a known greenhouse gas, once Mars begins to heat, the CO2 may help to keep thermal energy near the surface.",Terraforming of Mars
Terraforming of Mars:78,These gases are proposed for introduction because they generate a greenhouse effect thousands of times stronger than that of CO2.,Terraforming of Mars
Russia:153,"Under Stalins leadership, the government launched a command economy, industrialization of the largely rural country, and collectivization of its agriculture.",Russia
Sea level rise:26,"Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres 410 ft, with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",Sea level rise
Sea level rise:405,Climate-change-driven accelerated sea-level rise detected in the altimeter era.,Sea level rise
Sea level rise:50,"Data collected by the Commonwealth Scientific and Industrial Research Organisation CSIRO in Australia show the current global mean sea level trend to be 3.2 mm 0.13 in per year, a doubling of the rate during the 20th century.",Sea level rise
Sweden:173,"Between 1870 and 1914, Sweden began developing the industrialised economy that exists today.",Sweden
Earth:55,"The last continental glaciation ended 10,000 years ago.",Earth
Earth:76,"About a billion years from now, all surface water will have disappeared and the mean global temperature will reach 70 °C 158 °F.",Earth
Little Ice Age:22,The Little Ice Age ended in the latter half of the 19th century or early in the 20th century.,Little Ice Age
Antarctica:375,"The amount of surface warming in West Antarctica, while large, has not led to appreciable melting at the surface, and is not directly affecting the West Antarctic Ice Sheets contribution to sea level.",Antarctica
Climate variability:93,This created a warming that later melted the ice and brought Earths temperature back to equilibrium.,Climate variability
Climate variability:98,"Previous interglacials such as the Eemian phase created temperatures higher than today, higher sea levels, and some partial melting of the West Antarctic ice sheet.",Climate variability
Parinacota (volcano):246,The postulated period coincides with a global clustering of volcano collapse events; perhaps global warming occurring during this time when the last glacial maximum approached its end predisposed volcanoes to collapse.,Parinacota volcano
Snowball Earth:129,"Global warming associated with large accumulations of carbon dioxide in the atmosphere over millions of years, emitted primarily by volcanic activity, is the proposed trigger for melting a snowball Earth.",Snowball Earth
2007 Kangaroo Island bushfires:0,"The 2007 Kangaroo Island bushfires were a series of bushfires caused by lightning strikes on 6 December 2007 on Kangaroo Island, South Australia, resulting in the destruction of 95,000 hectares 230,000 acres of national park and wilderness protection area.",2007 Kangaroo Island bushfires
Bushfires in Australia:101,"Many fires are as a result of either deliberate arson or carelessness, however these fires normally happen in readily accessible areas and are rapidly brought under control.",Bushfires in Australia
Bushfires in Australia:102,"Man-made events include arcing from overhead power lines, arson, accidental ignition in the course of agricultural clearing, grinding and welding activities, campfires, cigarettes and dropped matches, sparks from machinery, and controlled burn escapes.",Bushfires in Australia
Bushfires in Australia:17,The fires would have been caused by both natural phenomenon and human hands.,Bushfires in Australia
Natural disaster:68,"A summer heat wave in Victoria, Australia, created conditions which fuelled the massive bushfires in 2009.",Natural disaster
Carbon tax:6,"CO2 is a heat-trapping greenhouse gas which causes global warming, which damages the environment and human health.",Carbon tax
Paleocene–Eocene Thermal Maximum:152,Intrusions of hot magma into carbon-rich sediments may have triggered the degassing of isotopically light methane in sufficient volumes to cause global warming and the observed isotope anomaly.,Paleocene-Eocene Thermal Maximum
Permian–Triassic extinction event:1171,Global Warming Led To Atmospheric Hydrogen Sulfide And Permian Extinction.,Permian-Triassic extinction event
Permian–Triassic extinction event:177,"The eruptions would also have emitted carbon dioxide, causing global warming.",Permian-Triassic extinction event
Permian–Triassic extinction event:182,"The basalt lava erupted or intruded into carbonate rocks and into sediments that were in the process of forming large coal beds, both of which would have emitted large amounts of carbon dioxide, leading to stronger global warming after the dust and aerosols settled.",Permian-Triassic extinction event
Fossil fuel:15,Carbon dioxide is a greenhouse gas that increases radiative forcing and contributes to global warming along with ocean acidification.,Fossil fuel
Petroleum:11,The use of petroleum as fuel causes global warming and ocean acidification.,Petroleum
Wind power:295,"Compared with other low carbon power sources, wind turbines have some of the lowest global warming potential per unit of electrical energy generated.",Wind power
Wind power:392,"Arrays of large turbines, known as wind farms, have become an increasingly important source of renewable energy and are used in many countries as part of a strategy to reduce their reliance on fossil fuels.",Wind power
Wind turbine:230,"Over 1,500 tons of carbon dioxide per year can be eliminated by using a one-megawatt turbine instead of one megawatt of energy from a fossil fuel.",Wind turbine
Antarctic ice sheet:170,The melting of floating ice raises the ocean level PDF.,Antarctic ice sheet
Sea level rise:128,There is a threshold in surface warming beyond which a partial or near-complete melting of the Greenland ice sheet occurs.,Sea level rise
Sea level rise:195,The gravitational effects comes into play when a large ice sheet melts.,Sea level rise
Sea level rise:691,The melting of floating ice raises the ocean level.,Sea level rise
Climate change denial:137,"Trend sceptics or deniers who deny there is global warming, and argue that no significant climate warming is taking place at all, claiming that the warming trend measured by weather stations is an artefact due to urbanisation around those stations urban heat island effect.",Climate change denial
Climate change denial:407,Many such people prefer to call themselves skeptics and describe their position as climate change skepticism.,Climate change denial
Global cooling:2,The current scientific consensus on climate change is that the Earth underwent global warming throughout the 20th century and continues to warm.,Global cooling
Richard Lindzen:148,"He said, A lot of my older colleagues are very skeptical on the global warming thing.",Richard Lindzen
Richard Lindzen:150,"John Wallace of the University of Washington agreed with Lindzen that progress in climate change science had been exaggerated, but said there are relatively few scientists who are as skeptical of the whole thing as Dick Lindzen is.",Richard Lindzen
Antarctica:1046,A 40-y record reveals gradual Antarctic sea ice increases followed by decreases at rates far exceeding the rates seen in the Arctic.,Antarctica
Ice age:0,"An ice age is a long period of reduction in the temperature of the Earths surface and atmosphere, resulting in the presence or expansion of continental and polar ice sheets and alpine glaciers.",Ice age
Ice age:133,"According to research published in Nature Geoscience, human emissions of carbon dioxide CO2 will defer the next ice age.",Ice age
Ice age:175,"The release of water raised sea levels again, restoring the ingress of colder water from the Pacific with an accompanying shift to northern hemisphere ice accumulation.",Ice age
Sea level rise:82,"Based on changes of Antarcticas ice mass balance over millions of years, due to natural climate fluctuations, researchers concluded that the sea-ice acts as a barrier for warmer waters surrounding the continent.",Sea level rise
Scientific consensus on climate change:13,"This scientific opinion is expressed in synthesis reports, by scientific bodies of national or international standing, and by surveys of opinion among climate scientists.",Scientific consensus on climate change
Scientific consensus on climate change:135,Human activity is most likely responsible for climate warming.,Scientific consensus on climate change
Scientific consensus on climate change:269,Dennis Bray and Hans von Storch conducted a survey in August 2008 of 2058 climate scientists from 34 different countries.,Scientific consensus on climate change
Sustainability:151,The Millennium Ecosystem Assessment is an international synthesis by over 1000 of the worlds leading biological scientists that analyzes the state of the Earths ecosystems and provides summaries and guidelines for decision-makers.,Sustainability
Sustainability:92,"It was signed by 15,364 scientists from 184 countries, what made it the letter with the most signatures of scientists in history In November 2019, more than 11,000 scientists from 153 countries published a letter in which they warn about big threats to sustainability from climate change if big changes in policies will not happen.",Sustainability
Global warming:146,"Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.",Global warming
Global warming:147,"Over the 21st century, the IPCC projects that in a very high emissions scenario the sea level could rise by 61-110 cm.",Global warming
Sea level rise:1,"Between 1900 and 2016, the sea level rose by 16-21 cm 6.3-8.3 in.",Sea level rise
Sea level:62,"For at least the last 100 years, sea level has been rising at an average rate of about 1.8 mm 0.07 in per year.",Sea level
Global warming controversy:78,"According to the United States National Research Council, There is a strong, credible body of evidence, based on multiple lines of research, documenting that climate is changing and that these changes are in large part caused by human activities.",Global warming controversy
Scientific consensus on climate change:139,"There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change On-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.",Scientific consensus on climate change
Scientific consensus on climate change:283,Seventy-five of 77 believed that human activity is a significant factor in changing mean global temperatures.,Scientific consensus on climate change
Scientific consensus on climate change:543,"7-10 There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change.",Scientific consensus on climate change
Scientific consensus on climate change:692,"While climate change can be due to natural forces or human activity, there is now substantial evidence to indicate that human activity - and specifically increased greenhouse gas GHGs emissions - is a key factor in the pace and extent of global temperature increases.",Scientific consensus on climate change
Carbon dioxide:221,Increasing atmospheric CO2 concentrations lead to further acidification,Carbon dioxide
Climate change adaptation:957,Adaptation To Global Climate Change Is An Essential Response To A Warming Planet.,Climate change adaptation
Greenhouse gas:457,"Correction to Control of fossil-fuel particulate black carbon and organic matter, possibly the most effective method of slowing global warming",Greenhouse gas
Scientific consensus on climate change:147,"A new statement, adopted by the society in 2003, revised in 2007, and revised and expanded in 2013, affirms that rising levels of greenhouse gases have caused and will continue to cause the global surface temperature to be warmer: Human activities are changing Earths climate.",Scientific consensus on climate change
Hockey stick controversy:113,"It said that by 1300 it began to cool, and by 1400 we were well into the Little Ice Age.",Hockey stick controversy
Hockey stick controversy:144,"The reconstruction found significant variability around a long-term cooling trend of -0.02 °C per century, as expected from orbital forcing, interrupted in the 20th century by rapid warming which stood out from the whole period, with the 1990s the warmest decade, and 1998 the warmest year, at moderately high levels of confidence.",Hockey stick controversy
Hockey stick controversy:175,"He said there had probably been no global warming since the 1940s, and Satellite data show no appreciable warming of the global atmosphere since 1979.",Hockey stick controversy
Hockey stick controversy:176,"In fact, if one ignores the unusual El Nino year of 1998, one sees a cooling trend.",Hockey stick controversy
Hockey stick controversy:206,"Thats the data weve had for the past 150 years, which is quite consistent with the expectation that the climate is continuing to warm.",Hockey stick controversy
Medieval Warm Period:0,"The Medieval Warm Period MWP also known as the Medieval Climate Optimum, or Medieval Climatic Anomaly was a time of warm climate in the North Atlantic region lasting from c. 950 to c. 1250.",Medieval Warm Period
Medieval Warm Period:13,"1200 AD, and was followed by a decline of temperature levels till between c. 1500 and c. 1700 the coldest phase since the last ice age occurred.",Medieval Warm Period
Medieval Warm Period:6,It is thought that between c. 950 and c. 1100 was the Northern Hemispheres warmest period since the Roman Warm Period.,Medieval Warm Period
Medieval Warm Period:9,The Medieval Warm Period MWP is generally thought to have occurred from c. 950-c.,Medieval Warm Period
Global warming:55,"Before the Industrial Revolution, naturally occurring amounts of greenhouse gases caused the air near the surface to be warmer by about 33 °C 59 °F than it would be in their absence.",Global warming
Patrick Michaels:30,"In 2018, Michaels asserted on Fox News, probably about half, maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases.",Patrick Michaels
Scientific consensus on climate change:136,Most of the climatic warming over the last 50 years is likely to have been caused by increased concentrations of greenhouse gases in the atmosphere.,Scientific consensus on climate change
Scientific consensus on climate change:150,Human-caused increases in greenhouse gases are responsible for most of the observed global average surface warming of roughly 0.8 °C 1.5 °F over the past 140 years.,Scientific consensus on climate change
Scientific consensus on climate change:459,"The Intergovernmental Panel on Climate Change said the likelihood was 90 percent to 99 percent that emissions of heat-trapping greenhouse gases like carbon dioxide, spewed from tailpipes and smokestacks, were the dominant cause of the observed warming of the last 50 years.",Scientific consensus on climate change
Global warming:1459,Estimating Changes in Global Temperature since the Preindustrial Period.,Global warming
Global warming:401,The 1720-1800 period is most suitable to be defined as preindustrial in physical terms,Global warming
NASA:12,"On January 14, 1958, NACA Director Hugh Dryden published A National Research Program for Space Technology stating: Play media It is of great urgency and importance to our country both from consideration of our prestige as a nation as well as military necessity that this challenge Sputnik be met by an energetic program of research and development for the conquest of space",NASA
NASA:1227,2016 Climate Trends Continue to Break Records.,NASA
Space Shuttle Challenger disaster:97,Tests and adjusted calculations later confirmed that the temperature of the joint was not substantially different from the ambient temperature.,Space Shuttle Challenger disaster
Wind farm:150,The energy consumed to manufacture and transport the materials used to build a wind power plant is equal to the new energy produced by the plant within a few months.,Wind farm
Wind turbine:228,"The energy harvested from the turbine will offset the installation cost, as well as provide virtually free energy for years.",Wind turbine
Windmill:0,"A windmill is a structure that converts wind power into rotational energy by means of vanes called sails or blades, specifically to mill grain gristmills, but the term is also extended to windpumps, wind turbines and other applications.",Windmill
Windmill:30,"The spread of tower mills came with a growing economy that called for larger and more stable sources of power, though they were more expensive to build.",Windmill
Windmill:89,A wind turbine is a windmill-like structure specifically developed to generate electricity.,Windmill
Beringia:39,"During the LGM 22,000 YBP the average summer temperature was 3-5 °C 5-9 °F degrees cooler than today, with variations of 2.9 °C 5.2 °F degrees cooler on the Seward Peninsula to 7.5 °C 13.5 °F cooler in the Yukon.",Beringia
Earth:206,"Consequently, summers are 2.3 °C 4 °F warmer in the Northern Hemisphere than in the Southern Hemisphere under similar conditions.",Earth
Holocene:279,"Centennial-scale climate cooling with a sudden event around 8,200 years ago.",Holocene
Holocene:49,"This period of warmth ended about 5,500 years ago with the descent into the Neoglacial and concomitant Neopluvial.",Holocene
Nordland:70,"Research using sediment in lakes near the Okstind Glacier has shown that the summer climate in Nordland was up to 2.5 °C warmer 9,000 to 6,000 years ago, and then slowly cooled, it was 0.5 °C warmer 2,000 years before present see Holocene climatic optimum",Nordland
Sea level rise:139,"Over the 21st century, this is expected to rise, with glaciers contributing 7 to 24 cm 3 to 9 in to global sea levels.",Sea level rise
Sea level rise:160,"If emissions remain very high, the IPCC projects sea level will rise by 52-98 cm 20-39 in.",Sea level rise
Sea level rise:165,This could mean rapid sea level rise of up to 19 mm 0.75 in per year by the end of the century.,Sea level rise
NASA:365,Its statements concur with the global scientific consensus that the global climate is warming.,NASA
Solar minimum:19,Solar physicist Dean Pesnell of the Goddard Space Flight Center came to the following conclusion: Were experiencing a very deep solar minimum.,Solar minimum
Solar minimum:33,NOAA Space Weather Scales Page Has Changed.,Solar minimum
Sun:139,"The coolest layer of the Sun is a temperature minimum region extending to about 500 km above the photosphere, and has a temperature of about 4,100 K. This part of the Sun is cool enough to allow the existence of simple molecules such as carbon monoxide and water, which can be detected via their absorption spectra.",Sun
Begging the question:181,Conception is defined as the beginning of life.,Begging the question
Begging the question:63,"Such preface is then followed with the question, as in: personal letter delivery is at an all-time low",Begging the question
Question mark:57,whereas in the English language orthography no space is allowed in front of the question mark e.g.,Question mark
Global warming controversy:224,Models referenced by the Intergovernmental Panel on Climate Change IPCC predict that global temperatures are likely to increase by 1.1 to 6.4 °C 2.0 to 11.5 °F between 1990 and 2100.,Global warming controversy
Global warming:22,"Currently, surface temperatures are rising by about 0.2 °C per decade.",Global warming
Global warming:317,"In 1896, he published the first climate model of its kind, showing that halving of CO2 could have produced the drop in temperature initiating the ice age.",Global warming
Global warming:67,"The 10th Emissions Gap Report issued by the United Nations Environment Programme UNEP predicts that if emissions continue to increase at the same rate as they have in 2010-2020, global temperatures would rise by as much as 4° by 2100.",Global warming
Global warming:7,"Climate model projections summarized in the report indicated that during the 21st century the global surface temperature is likely to rise a further 0.3 to 1.7 °C 0.5 to 3.1 °F in a moderate scenario, or as much as 2.6 to 4.8 °C 4.7 to 8.6 °F in an extreme scenario, depending on the rate of future greenhouse gas emissions and on climate feedback effects.",Global warming
Effects of global warming:57,"The main impact of global warming on the weather is an increase in extreme weather events such as heat waves, droughts, cyclones, blizzards and rainstorms.",Effects of global warming
Scientific consensus on climate change:137,"Documented long-term climate changes include changes in Arctic temperatures and ice, widespread changes in precipitation amounts, ocean salinity, wind patterns and extreme weather including droughts, heavy precipitation, heat waves and the intensity of tropical cyclones.",Scientific consensus on climate change
Scientific consensus on climate change:715,"As the Earths climate warms, we are seeing many changes: stronger, more destructive hurricanes; heavier rainfall; more disastrous flooding; more areas of the world experiencing severe drought; and more heat waves.",Scientific consensus on climate change
Scientific consensus on climate change:721,"This could lead to changing, and for all emissions scenarios more unpredictable, weather patterns around the world, less frost days, more extreme events droughts and storm or flood disasters, and warmer sea temperatures and melting glaciers causing sea levels to rise.",Scientific consensus on climate change
Weather:96,"Climate change caused by human activities that emit greenhouse gases into the air is expected to affect the frequency of extreme weather events such as drought, extreme temperatures, flooding, high winds, and severe storms.",Weather
Climate change mitigation:241,"Many citizens of countries like the United States and Canada who drive personal cars often, see well over half of their climate change impact stemming from the emissions produced from their cars.",Climate change mitigation
Climate change mitigation:317,"For richer people, emissions tend to be associated with things such as eating beef, cars, frequent flying, and home heating.",Climate change mitigation
Climate change mitigation:379,"Most environmentally related taxes with implications for greenhouse gas emissions in OECD countries are levied on energy products and motor vehicles, rather than on CO2 emissions directly.",Climate change mitigation
Earth:351,The Moon may have dramatically affected the development of life by moderating the planets climate.,Earth
Earth:668,The Role of Solar Nuclear Evolution and Magnetic Activity on Earths Atmosphere and Climate.,Earth
Proxima Centauri:39,It has a regular activity cycle of starspots.,Proxima Centauri
Star:266,"This surface activity produces starspots, which are regions of strong magnetic fields and lower than normal surface temperatures.",Star
Star:274,"During the Maunder Minimum, for example, the Sun underwent a 70-year period with almost no sunspot activity.",Star
Star:328,Patches of the stars surface with a lower temperature and luminosity than average are known as starspots.,Star
Sun:186,"At solar-cycle minimum, the toroidal field is, correspondingly, at minimum strength, sunspots are relatively rare, and the poloidal field is at its maximum strength.",Sun
Global warming:99,Physical climate models are also unable to reproduce the rapid warming observed in recent decades when taking into account only variations in solar output and volcanic activity.,Global warming
IPCC Fourth Assessment Report:48,The observed increase in hurricane intensity is larger than climate models predict for the sea surface temperature changes we have experienced.,IPCC Fourth Assessment Report
Intergovernmental Panel on Climate Change:128,"Projections based on the Special Report on Emissions Scenarios suggest warming over the 21st century at a more rapid rate than that experienced for at least the last 10,000 years.",Intergovernmental Panel on Climate Change
Scientific consensus on climate change:507,"Since the start of the 20th century, the global mean surface temperature of the Earth has increased by more than 0.7°C and the rate of warming has been largest in the last 30 years.",Scientific consensus on climate change
Scientific consensus on climate change:719,"On the basis of available data, climate scientists are now projecting an average global temperature rise over this century of 2.0 to 4.5°C.",Scientific consensus on climate change
Carbon dioxide:196,"Five hundred million years ago the carbon dioxide concentration was 20 times greater than today, decreasing to 4-5 times during the Jurassic period and then slowly declining with a particularly swift reduction occurring 49 million years ago.",Carbon dioxide
Eocene:203,Atmospheric carbon dioxide concentrations over the past 60 million years.,Eocene
Greenhouse gas:129,"As a result of this balance, the atmospheric mole fraction of carbon dioxide remained between 260 and 280 parts per million for the 10,000 years between the end of the last glacial maximum and the start of the industrial era.",Greenhouse gas
Greenhouse gas:69,The atmospheric lifetime of CO2 is estimated of the order of 30-95 years.,Greenhouse gas
Greenhouse gas:74,N2O has a mean atmospheric lifetime of 121 years.,Greenhouse gas
Paleocene–Eocene Thermal Maximum:98,This depth depends on among other things temperature and the amount of CO2 dissolved in the ocean.,Paleocene-Eocene Thermal Maximum
Sea level rise:3,"This acceleration is due mostly to human-caused global warming, which is driving thermal expansion of seawater and the melting of land-based ice sheets and glaciers.",Sea level rise
Sea level rise:68,The heat needed to raise an average temperature increase of the entire world ocean by 0.01 °C would increase the atmospheric temperature by approximately 10 °C.,Sea level rise
Sea level rise:69,"Thus, a small change in the mean temperature of the ocean represents a very large change in the total heat content of the climate system.",Sea level rise
Sea level rise:74,"Because different climate models have slightly different patterns of ocean heating, they do not agree fully on the predictions for the contribution of ocean heating on sea level rise.",Sea level rise
Climate:108,"Increases in greenhouse gases, such as by volcanic activity, can increase the global temperature and produce an interglacial period.",Climate
Global warming:276,"In the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",Global warming
Greenhouse gas:310,"During the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health.",Greenhouse gas
Scientific consensus on climate change:155,Increases in ambient temperatures and changes in related processes are directly linked to rising anthropogenic greenhouse gas GHG concentrations in the atmosphere.,Scientific consensus on climate change
Apple Corps:230,Weve got to put a stop to it in order to set a precedent.,Apple Corps
Apple Corps:63,"Lennon said, Its a company were setting up, involving records, films, and electronics, and - as a sideline - manufacturing or whatever.",Apple Corps
The Carpenters:412,"Offering/Ticket to Ride 1969 Close to You 1970 Carpenters 1971 A Song for You 1972 Now & Then 1973 Horizon 1975 A Kind of Hush 1976 Passage 1977 Christmas Portrait 1978 Made in America 1981 Posthumous releases Voice of the Heart 1983 An Old-Fashioned Christmas 1984 Lovelines 1989 As Time Goes By 2004 Carpenters With The Royal Philharmonic Orchestra 2018 Notes Even though they are referred to as The Carpenters, their official name for authorized recordings and press material is simply Carpenters.",The Carpenters
The Rolling Stones:617,"Im planning the next set of tours, so the answer is really, No, not really.",The Rolling Stones
The Simpsons:888,The Simpsons sets a record by staying relevant.,The Simpsons
Australia:1011,"Australias extreme heat is sign of things to come, scientists warn.",Australia
Australia:136,"According to the Bureau of Meteorologys 2011 Australian Climate Statement, Australia had lower than average temperatures in 2011 as a consequence of a La Niña weather pattern; however, the countrys 10-year average continues to demonstrate the rising trend in temperatures, with 2002-2011 likely to rank in the top two warmest 10-year periods on record for Australia, at 0.52 °C 0.94 °F above the long-term average.",Australia
Australia:137,"Furthermore, 2014 was Australias third warmest year since national temperature observations commenced in 1910.",Australia
Australia:141,January 2019 was the hottest month ever in Australia with average temperatures exceeding 30 °C 86 °F.,Australia
Australia:240,inflation has typically been 2-3% and the base interest rate 5-6%.,Australia
Effects of global warming:92,"Global warming not only causes changes in tropical cyclones, it may also make some impacts from them worse via sea level rise.",Effects of global warming
Hurricane Harvey:1021,climate change made Hurricane Harvey more deadly.,Hurricane Harvey
Hurricane Harvey:292,"The Gulf of Mexico is known for hurricanes in August, so their incidence alone cannot be attributed to global warming, but the warming climate does influence certain attributes of storms.",Hurricane Harvey
Hurricane Harvey:294,"Weather events are due to multiple factors, and so cannot be said to be caused by one precondition, but climate change affects aspects of extreme events, and very likely worsened some of the impacts of Harvey.",Hurricane Harvey
Hurricane Harvey:996,impacts likely worsened due to global warming.,Hurricane Harvey
Intergovernmental Panel on Climate Change:0,"The Intergovernmental Panel on Climate Change IPCC is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options.",Intergovernmental Panel on Climate Change
Intergovernmental Panel on Climate Change:14,"The IPCC provides an internationally accepted authority on climate change, producing reports that have the agreement of leading climate scientists and consensus from participating governments.",Intergovernmental Panel on Climate Change
